alpha,beta,CL,CL_ci,CD,CD_ci,CMx,CMx_ci,CMy,CMy_ci,CMz,CMz_ci
-11.568121157001665,0,-0.28023315356081796,0.011070533538875897,0.09785297775939765,0.012935829196785585,0.00437157475590111,0.0286993060001136,0.0185274596512998,0.0282608431382968,0.0210669698944731,0.0271779286988212
-6.099059501611582,0,-0.2144913736143728,0.012287227041809052,0.06853577957407217,0.015525138484707877,-0.00755498573046038,0.0360392337568146,0.0114795207949488,0.032500454158528,0.000755708546556479,0.0325068410211215
-1.9996385577164184,0,-0.0007680391233001299,0.01068508564308875,0.04885867739007862,0.0076696455159627275,-0.0158988564524073,0.037171452190456,-0.00330931153035509,0.0341996655373784,-0.00759575821083012,0.0318738692894563
-1.3348199670846914,0,0.07398995139159774,0.00953159417113588,0.05739081465627228,0.008889911090057321,-0.0100130430688713,0.0325822709227836,-0.040806162473867,0.0288473702788264,0.0123645037540894,0.0280588394174328
3.0810784665258444,0,0.46519267467797903,0.009475707060472788,0.05616787766119728,0.009084810793467887,-0.0258618167462268,0.0224844541725969,0.0308738607806185,0.0284283853889457,0.0140251297074127,0.0210561286933184
5.412846420261046,0,0.610180915884597,0.0045250228316688484,0.07431024337243476,0.004621689815286087,-0.0221407525325612,0.0156450069084061,0.0144224945436694,0.0145159160955344,0.0229736195850115,0.0131474110678698
7.350324457982788,0,0.7430356350927991,0.009465755795905533,0.08664306372317211,0.009633413459228232,-0.0312824340278635,0.0266562268673516,0.0563725541445889,0.0308395985679497,0.0178991263350178,0.0229903897494152
9.382433604529174,0,0.887298865863501,0.010638047578235603,0.10233695227784106,0.00900521264610847,-0.02336356591712,0.030224035077201,0.0392859550909577,0.0338451478858252,0.0251841910742331,0.0243551218371345
11.464425166301869,0,0.9255655151637727,0.014238431399063743,0.17599439630813363,0.01507120428946693,-0.0228070181352731,0.0334609894219685,0.0315587237644146,0.0416478984370718,0.0166303297008157,0.0280255456277692
12.461055790544702,0,0.9327251987983486,0.015877506028324398,0.18888674805756867,0.01693686866633114,-0.00995600648602306,0.0315207782517628,0.075218719355394,0.0445381386567502,0.00622294840687863,0.0280185877752834
13.352348165878231,0,0.9512282813613351,0.014573344990978988,0.2127454401843595,0.018047053186439406,-0.0114210223486002,0.0312159263852684,0.0258594620554227,0.0436598327054732,0.0184960316024415,0.0273096754789724
14.540186234231973,0,0.9770715203611249,0.018103047941433924,0.22788683966364287,0.0204637541133525,-0.0155344068837501,0.032163181237033,0.0531223656310487,0.0520680554723465,0.00865439721248052,0.0284861083051677
16.225366370508798,0,1.008562675819161,0.016658847313704747,0.24447585438450992,0.018378234971297258,-0.00039395697021092,0.027685485343775,0.0886930289387169,0.0518597446938309,0.00169172965990106,0.0253734777646321
18.29734623730859,0,1.0681034642531901,0.0154900038338791,0.319919197381967,0.02298889264565519,-0.00860452331661369,0.0325209573901093,0.0403243136368007,0.0469956298727439,0.0390052407209399,0.0289388526822307
20.224692877134817,0,1.0099938012961718,0.015447658557709807,0.3573016324548397,0.015144711790384626,-0.014479896219406,0.0355487235483263,0.0941951402601613,0.0502408375714964,0.00581594862390604,0.0314948818234675
23.03035435658158,0,0.9979635604848679,0.01181112128634061,0.4199851182071093,0.011605298627928523,-0.0316878321298153,0.0342147018358101,0.0428177136177952,0.038177499309995,0.000520398672799248,0.0403006191993008
24.54119521035482,0,0.9749275179241531,0.01301729603627638,0.43498425522432616,0.012174929509637398,-0.0274762633692519,0.0307244717194419,0.0610071490706344,0.0432779678778292,0.00446788426356059,0.0247795303139092
